P8PL3;B02;p8_195;neutral;neutral;;P8PL3;F08;p8_241;neutral;up
P8PL3;B03;p8_196;neutral;neutral;;P8PL3;F09;p8_242;neutral;neutral
P8PL3;B04;p8_197;neutral;neutral;;P8PL3;F10;p8_243;neutral;neutral
P8PL3;B05;p8_198;neutral;neutral;;P8PL3;F11;p8_244;neutral;neutral
P8PL3;B06;p8_199;neutral;neutral;;P8PL3;G02;p8_245;neutral;neutral
P8PL3;B07;p8_200;up;neutral;;P8PL3;G03;p8_246;neutral;neutral
P8PL3;B08;p8_201;neutral;neutral;;P8PL3;G04;p8_247;neutral;up
P8PL3;B09;p8_202;neutral;neutral;;P8PL3;G05;p8_248;neutral;neutral
P8PL3;B10;p8_203;neutral;neutral;;P8PL3;G06;p8_249;up;up
P8PL3;B11;p8_204;neutral;neutral;;P8PL3;G07;p8_250;up;up
P8PL3;C02;p8_205;neutral;neutral;;P8PL3;G08;p8_251;neutral;neutral
P8PL3;C03;p8_206;down;down;;P8PL3;G09;p8_252;neutral;neutral
P8PL3;C04;p8_207;neutral;up;;P8PL3;G10;p8_253;neutral;neutral
P8PL3;C05;p8_208;down;down;;P8PL3;G11;p8_254;neutral;neutral
P8PL3;C06;p8_209;neutral;neutral;;P8PL3;H03;p8_255;down;down
P8PL3;C07;p8_210;neutral;down;;P8PL3;H04;p8_256;neutral;up
P8PL3;C08;p8_211;down;down;;P8PL3;H05;p8_257;neutral;down
P8PL3;C09;p8_212;neutral;up;;P8PL3;H06;p8_258;neutral;neutral
P8PL3;C10;p8_213;neutral;down;;P8PL3;H07;p8_259;down;down
P8PL3;C11;p8_214;neutral;up;;P8PL3;H08;p8_260;neutral;down
P8PL3;D02;p8_215;down;down;;P8PL3;H09;p8_261;neutral;neutral
P8PL3;D03;p8_216;down;down;;P8PL3;H10;p8_262;down;down
P8PL3;D04;p8_217;neutral;down;;P8PL3;H11;p8_263;down;down
P8PL3;D05;p8_218;neutral;neutral;;;;;;
P8PL3;D06;p8_219;down;down;;;;;;
P8PL3;D07;p8_220;down;down;;P8PL3;;;;
P8PL3;D08;p8_221;neutral;down;;;;;;
P8PL3;D09;p8_222;down;down;;;;;;
P8PL3;D10;p8_223;neutral;neutral;;;;;;
P8PL3;D11;p8_224;down;neutral;;;;;;
P8PL3;E02;p8_225;neutral;down;;;;;;
P8PL3;E03;p8_226;down;neutral;;;;;;
P8PL3;E04;p8_227;neutral;up;;;;;;
P8PL3;E05;p8_228;down;neutral;;;;;;
P8PL3;E06;p8_229;up;up;;;;;;
P8PL3;E07;p8_230;neutral;neutral;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P9PL1;A02;p8_264;down;down;;P9PL1;E08;p9_37;down;neutral
P9PL1;A03;p8_265;neutral;down;;P9PL1;E09;p9_38;down;neutral
P9PL1;A04;p9_1;down;neutral;;P9PL1;E10;p9_39;neutral;neutral
P9PL1;A05;p9_2;down;down;;P9PL1;E11;p9_40;neutral;neutral
P9PL1;A06;p9_3;down;down;;P9PL1;F02;p8_274;neutral;neutral
P9PL1;A07;p9_4;down;neutral;;P9PL1;F03;p9_275;neutral;neutral
P9PL1;A08;p9_5;down;neutral;;P9PL1;F04;p9_41;neutral;neutral
P9PL1;A09;p9_6;neutral;neutral;;P9PL1;F05;p9_42;neutral;down
P9PL1;A10;p9_7;down;down;;P9PL1;F06;p9_43;down;neutral
P9PL1;A11;p9_8;neutral;neutral;;P9PL1;F07;p9_44;down;neutral
P9PL1;B02;p8_266;neutral;neutral;;P9PL1;F08;p9_45;down;down
P9PL1;B03;p8_267;down;down;;P9PL1;F09;p9_46;down;neutral
P9PL1;B04;p9_9;neutral;neutral;;P9PL1;F10;p9_47;down;neutral
P9PL1;B05;p9_10;neutral;neutral;;P9PL1;F11;p9_48;neutral;neutral
P9PL1;B06;p9_11;neutral;neutral;;P9PL1;G02;p8_276;down;down
P9PL1;B07;p9_12;neutral;neutral;;P9PL1;G03;p8_277;neutral;down
P9PL1;B08;p9_13;down;neutral;;P9PL1;G04;p9_49;down;down
P9PL1;B09;p9_14;neutral;neutral;;P9PL1;G05;p9_50;neutral;down
P9PL1;B10;p9_15;neutral;neutral;;P9PL1;G06;p9_51;down;neutral
P9PL1;B11;p9_16;down;down;;P9PL1;G07;p9_52;down;neutral
