 ,Label,Area,Mean,StdDev,IntDen,RawIntDen
48,0.1xlbgm_bspoae_co.czi:0001-0715:c:2/3 - 0.1xlbgm_bspoae_co.czi #1,42644201.470,1990.747,144.775,84893832990.250,396628548.000
49,0.1xlbgm_bsprotegens_bs-02.czi:0001-0739:c:1/3 - 0.1xlbgm_bsprotegens_bs-02.czi #1,42862520.878,4346.168,633.667,186287730762.322,870346285.000
50,0.1xlbgm_bsprotegens_bs-02.czi:0001-0739:c:2/3 - 0.1xlbgm_bsprotegens_bs-02.czi #1,42862520.878,2005.013,135.230,85939910003.851,401515876.000
51,0.1xlbgm_bsprotegens_bs-03.czi:0001-0725:c:1/3 - 0.1xlbgm_bsprotegens_bs-03.czi #1,46396512.779,4527.584,631.218,210064099511.699,981430757.000
52,0.1xlbgm_bsprotegens_bs-03.czi:0001-0725:c:2/3 - 0.1xlbgm_bsprotegens_bs-03.czi #1,46396512.779,2158.889,145.099,100164942724.164,467975993.000
53,0.1xlbgm_bsprotegens_bs.czi:0001-0729:c:1/3 - 0.1xlbgm_bsprotegens_bs.czi #1,41677817.033,4320.467,642.510,180067644530.813,841285708.000
54,0.1xlbgm_bsprotegens_bs.czi:0001-0729:c:2/3 - 0.1xlbgm_bsprotegens_bs.czi #1,41677817.033,1990.684,138.144,82967383393.443,387628072.000
55,0.1xlbgm_bsprotegens_co-02.czi:0001-0706:c:1/3 - 0.1xlbgm_bsprotegens_co-02.czi #1,18502783.836,497.063,47.642,9197057996.287,42969149.000
56,0.1xlbgm_bsprotegens_co-02.czi:0001-0706:c:2/3 - 0.1xlbgm_bsprotegens_co-02.czi #1,18502783.836,1178.186,82.834,21799721099.596,101849468.000
57,0.1xlbgm_bsprotegens_co-03.czi:0001-0740:c:1/3 - 0.1xlbgm_bsprotegens_co-03.czi #1,19890610.345,511.006,44.505,10164213186.144,47487750.000
58,0.1xlbgm_bsprotegens_co-03.czi:0001-0740:c:2/3 - 0.1xlbgm_bsprotegens_co-03.czi #1,19890610.345,1191.662,83.802,23702889286.004,110741172.000
59,0.1xlbgm_bsprotegens_co.czi:0001-0711:c:1/3 - 0.1xlbgm_bsprotegens_co.czi #1,19529741.206,511.567,48.648,9990767192.363,46677401.000
60,0.1xlbgm_bsprotegens_co.czi:0001-0711:c:2/3 - 0.1xlbgm_bsprotegens_co.czi #1,19529741.206,1242.788,85.934,24271325815.351,113396938.000
61,lbgm_bscapeferrum_bs-02.czi:0001-0744:c:1/3 - lbgm_bscapeferrum_bs-02.czi #1,73243164.720,6055.287,1427.544,443508379691.047,2072094974.000
62,lbgm_bscapeferrum_bs-02.czi:0001-0744:c:2/3 - lbgm_bscapeferrum_bs-02.czi #1,73243164.720,2358.244,1796.317,172725221246.423,806981512.000
63,lbgm_bscapeferrum_bs-03.czi:0001-0725:c:1/3 - lbgm_bscapeferrum_bs-03.czi #1,50434565.666,6686.795,1600.081,337245606393.069,1575629589.000
64,lbgm_bscapeferrum_bs-03.czi:0001-0725:c:2/3 - lbgm_bscapeferrum_bs-03.czi #1,50434565.666,2482.276,1901.177,125192501282.923,584906091.000
65,lbgm_bscapeferrum_bs.czi:0001-0761:c:1/3 - lbgm_bscapeferrum_bs.czi #1,73233104.904,6014.934,1436.939,440492287870.923,2058003631.000
66,lbgm_bscapeferrum_bs.czi:0001-0761:c:2/3 - lbgm_bscapeferrum_bs.czi #1,73233104.904,2254.577,1783.042,165109669039.036,771401243.000
67,lbgm_bscapeferrum_co-02.czi:0001-0748:c:1/3 - lbgm_bscapeferrum_co-02.czi #1,61916240.160,6029.593,1502.618,373329733460.117,1744216569.000
68,lbgm_bscapeferrum_co-02.czi:0001-0748:c:2/3 - lbgm_bscapeferrum_co-02.czi #1,61916240.160,1975.373,1437.235,122307656027.394,571427939.000
69,lbgm_bscapeferrum_co-03.czi:0001-0762:c:1/3 - lbgm_bscapeferrum_co-03.czi #1,55350605.033,6110.257,1505.235,338206421758.559,1580118570.000
70,lbgm_bscapeferrum_co-03.czi:0001-0762:c:2/3 - lbgm_bscapeferrum_co-03.czi #1,55350605.033,2110.887,1702.080,116838867664.526,545877466.000
71,lbgm_bscapeferrum_co.czi:0001-0706:c:1/3 - lbgm_bscapeferrum_co.czi #1,40926113.347,6889.053,1617.365,281942160064.549,1317248917.000
72,lbgm_bscapeferrum_co.czi:0001-0706:c:2/3 - lbgm_bscapeferrum_co.czi #1,40926113.347,2213.219,1600.858,90578447210.656,423187371.000
73,lbgm_bskoreensis_bs-02.czi:0001-0737:c:1/3 - lbgm_bskoreensis_bs-02.czi #1,54461916.621,6201.753,1917.514,337759378953.324,1578029962.000
74,lbgm_bskoreensis_bs-02.czi:0001-0737:c:2/3 - lbgm_bskoreensis_bs-02.czi #1,54461916.621,1890.515,1285.867,102961076242.826,481039679.000
75,lbgm_bskoreensis_bs-03.czi:0001-0731:c:1/3 - lbgm_bskoreensis_bs-03.czi #1,39878394.229,6068.677,1904.637,242009090094.016,1130679469.000
